iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,15,79,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.72,0.4129,0.3938,0.4031,0.5901
1,target_population,3,15,79,6,6,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.78,0.482,0.4705,0.4755,0.6391
1,target_population,3,15,79,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.79,0.2687,0.3333,0.2976,0.7523
1,target_population,3,15,79,6,6,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.79,0.2687,0.3333,0.2976,0.7589
1,target_population,3,15,79,6,6,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.74,0.3339,0.3302,0.3271,
1,target_population,3,15,79,6,6,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.76,0.3755,0.3567,0.356,
1,target_population,3,15,79,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.74,0.4048,0.4203,0.4124,0.5462
1,target_population,3,15,79,6,6,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.71,0.4024,0.4256,0.4087,0.5231
1,target_population,3,15,79,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.72,0.3869,0.3938,0.3902,0.7139
1,target_population,3,15,79,6,6,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.75,0.3957,0.4065,0.401,0.7392
1,target_population,2,15,79,0,15,K-Fold,5.0,LogReg,TFIDF_profile_text,500,False,0.8404,0.4202,0.5,0.4566,0.8405
1,target_population,2,15,79,0,15,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.8404,0.4202,0.5,0.4566,0.7958
1,target_population,2,15,79,0,15,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,False,0.8298,0.627,0.5477,0.5524,0.5477
1,target_population,2,15,79,0,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.8085,0.5961,0.562,0.5701,0.562
1,target_population,2,15,79,0,15,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,False,0.8404,0.4202,0.5,0.4566,0.6852
1,target_population,2,15,79,0,15,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.8404,0.4202,0.5,0.4566,0.6869
1,target_population,2,15,79,0,15,K-Fold,5.0,SVM,TFIDF_profile_text,500,False,0.8511,0.9247,0.5333,0.5218,0.8177
1,target_population,2,15,79,0,15,LOOCV,,SVM,TFIDF_profile_text,500,False,0.8511,0.7619,0.5603,0.5699,0.7882
1,target_population,2,15,79,0,15,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,False,0.8404,0.6778,0.554,0.5609,0.7882
1,target_population,2,15,79,0,15,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.8511,0.7326,0.5873,0.6083,0.7181
1,target_population,2,15,79,0,15,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,False,0.8404,0.6739,0.527,0.515,0.711
1,target_population,2,15,79,0,15,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.8511,0.7619,0.5603,0.5699,0.5705
1,target_population,2,15,79,0,15,K-Fold,5.0,LogReg,TFIDF_profile_text,500,True,0.8511,0.719,0.6414,0.6657,0.8321
1,target_population,2,15,79,0,15,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.8617,0.7544,0.6477,0.678,0.8203
1,target_population,2,15,79,0,15,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,True,0.8404,0.6818,0.581,0.5979,0.581
1,target_population,2,15,79,0,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.8085,0.5213,0.508,0.4964,0.508
1,target_population,2,15,79,0,15,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,True,0.8404,0.4202,0.5,0.4566,0.7207
1,target_population,2,15,79,0,15,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.8404,0.4202,0.5,0.4566,0.7
1,target_population,2,15,79,0,15,K-Fold,5.0,SVM,TFIDF_profile_text,500,True,0.8511,0.7326,0.5873,0.6083,0.8203
