iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.7277,0.7463,0.7361,0.7463
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7781,0.7661,0.7718,0.7661
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.9086,0.5278,0.5023,0.8077
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.9086,0.5278,0.5023,0.7957
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.7013,0.6126,0.6324,0.7003
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.7369,0.6192,0.6429,0.7624
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7827,0.7449,0.7611,0.7953
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7827,0.7449,0.7611,0.8414
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8085,0.6813,0.6484,0.6611,0.769
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.7004,0.6338,0.6534,0.758
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.7232,0.6827,0.6987,0.8121
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.746,0.6893,0.7103,0.8275
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.8191,0.7098,0.7186,0.714,0.7186
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.8723,0.7989,0.7727,0.7846,0.7727
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8191,0.9086,0.5278,0.5023,0.7785
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8191,0.9086,0.5278,0.5023,0.8015
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8085,0.6768,0.6272,0.643,0.712
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.7286,0.6404,0.6643,0.7792
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.7251,0.7251,0.7251,0.8085
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8511,0.7595,0.7595,0.7595,0.7975
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8085,0.6908,0.6908,0.6908,0.7668
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.7422,0.7317,0.7367,0.7946
1,person_vs_organization,3,16,81,3,3,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.81,0.27,0.3333,0.2983,0.6609
1,person_vs_organization,3,16,81,3,3,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.81,0.27,0.3333,0.2983,0.5101
1,person_vs_organization,3,16,81,3,3,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.72,0.3189,0.3297,0.3239,0.4589
1,person_vs_organization,3,16,81,3,3,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.81,0.4457,0.4002,0.4078,0.5366
1,person_vs_organization,3,16,81,3,3,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.81,0.4388,0.3501,0.335,0.5504
1,person_vs_organization,3,16,81,3,3,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.83,0.6088,0.375,0.3758,0.6774
1,person_vs_organization,3,16,81,3,3,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.82,0.4971,0.3709,0.3698,
1,person_vs_organization,3,16,81,3,3,LOOCV,,SVM,TFIDF_profile_text,500,False,0.82,0.4971,0.3709,0.3698,
1,person_vs_organization,3,16,81,3,3,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.82,0.6061,0.3542,0.3392,0.4326
1,person_vs_organization,3,16,81,3,3,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.81,0.27,0.3333,0.2983,0.1717
1,person_vs_organization,3,16,81,3,3,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.75,0.266,0.3086,0.2857,0.5451
1,person_vs_organization,3,16,81,3,3,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.76,0.2667,0.3128,0.2879,0.5196
1,person_vs_organization,3,16,81,3,3,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.84,0.5005,0.4627,0.4748,0.7408
1,person_vs_organization,3,16,81,3,3,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.84,0.5005,0.4627,0.4748,0.6623
1,person_vs_organization,3,16,81,3,3,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.55,0.3059,0.2932,0.2864,0.4888
1,person_vs_organization,3,16,81,3,3,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.5,0.3151,0.3061,0.2818,0.5065
