iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,target_population,3,99,283,18,18,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.705,0.4623,0.4633,0.4626,0.627
4,target_population,3,99,283,18,18,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.7075,0.4725,0.4623,0.4662,0.6307
4,target_population,3,99,283,18,18,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.79,0.5184,0.4729,0.482,0.7616
4,target_population,3,99,283,18,18,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.7825,0.5005,0.465,0.4713,0.7633
4,target_population,3,99,283,18,18,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.7525,0.4923,0.4771,0.4838,
4,target_population,3,99,283,18,18,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.75,0.4894,0.4694,0.478,
4,target_population,3,99,283,18,18,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.68,0.4751,0.4862,0.475,0.6363
4,target_population,3,99,283,18,18,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.6525,0.4573,0.4798,0.4639,0.634
4,target_population,3,99,283,18,18,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.7475,0.5144,0.5051,0.5093,0.7109
4,target_population,3,99,283,18,18,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.7675,0.4846,0.482,0.4823,0.7387
4,target_population,2,99,283,0,99,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.7853,0.7889,0.6056,0.6152,0.8669
4,target_population,2,99,283,0,99,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.7932,0.7741,0.6338,0.6526,0.8665
4,target_population,2,99,283,0,99,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.7618,0.6835,0.6553,0.6654,0.6821
4,target_population,2,99,283,0,99,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.7932,0.7304,0.7094,0.7183,0.7231
4,target_population,2,99,283,0,99,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.7984,0.7562,0.6669,0.6884,0.8383
4,target_population,2,99,283,0,99,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.7958,0.7457,0.6717,0.6917,0.8413
4,target_population,2,99,283,0,99,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.8063,0.7547,0.7051,0.7224,0.8333
4,target_population,2,99,283,0,99,LOOCV,,SVM,TFIDF_profile_text,500,False,0.8141,0.7653,0.7202,0.7369,0.845
4,target_population,2,99,283,0,99,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.7696,0.7078,0.6081,0.6194,0.8031
