username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
JacobsYechiel,defeating anti israel hate with comedy. sharing the truth through laughter and humor!,,0,0.336283662723945,0.336283662723945,0.3308080548182323,0.3329082824578227,0.6637163372760551,,,,
MikeE_3_14,"dad datascience mathaddict genai llms diffusionmodels gymlover

rightwing liberal anti-socialism anti-islamism russiadelendaest slavaukraine antiwoke",greenland,0,0.336283662723945,0.336283662723945,0.3308080548182323,0.3329082824578227,0.6637163372760551,,,,
ramat123,"former chairperson @ b'tselem.
anti apartheid and anti occupation activist. 
opinions here are my own.",israel,0,0.336283662723945,0.336283662723945,0.3308080548182323,0.3329082824578227,0.6637163372760551,,,,
andresfidanza,periodista. jefe de redacción de el observador usa (,miami florida ee.uu.,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
NagrelaEditores,publicamos libros de temática judía en español. nuestro objetivo es fomentar el conocimiento de la historia tradiciones y cultura judía y el estado de israel.,españa,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
halabi_rafik,the mayor of daliat el carmel,daliat el carmel,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
nayibbukele,philosopher king,el salvador,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
IsraelinSV,bienvenidos a nuestra cuenta oficial en twitter del estado de,san salvador el salvador,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
Gonzalez_Erwin,contador público leal hasta la muerteconfío en el cambio. no hay poder humano eterno. un día a la vez!! cripto mundo! follow me and i follow you!!,,0,0.3362977601631562,0.3362977601631562,0.335949480779336,0.3277527590575078,0.6637022398368437,,,,
IsraelinBG,official account of the embassy of israel in bulgaria,sofia bulgaria,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
UK_MTO,official x account for united kingdom maritime trade operations (ukmto).,,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
US_EUCOM,the official x account of u.s. european command.,stuttgart germany,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
MBD_real,• official account of singer/songwriter mordechai ben david •,sea gate brooklyn,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
AuschwitzMuseum,former german nazi concentration & extermination camp auschwitz. official account. we commemorate victims educate about history & preserve the authentic site.,oświęcim polska,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
LTC_Shoshani,official account of idf international spokesperson lieutenant colonel nadav shoshani,israel,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
ASCRM41,"american society of criminology (official x account)

80th annual meeting - washington d.c. - november 12-15 2025",columbus oh,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
TSA,official x account of the transportation security administration. read our social media policy at,washington dc,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
OBEYGIANT,official account of artist/activist shepard fairey. obey discord:,los angeles,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
IsraelinPH,official account of the embasssy of israel,manila,0,0.3363537016122405,0.3363537016122405,0.3353897143727086,0.3282565840150508,0.6636462983877595,,,,
boaz_tal,living on the edge and enjoying it.,london,1,0.339696752514955,0.3212127264298688,0.339696752514955,0.3390905210551761,0.660303247485045,,,,
SonicScrw,"של נעליך מעל רגליך כי הרגע העברתי סמרטוט קיבינימט.
it rubs the lotion on its skin/it gets the hose again",,1,0.339696752514955,0.3212127264298688,0.339696752514955,0.3390905210551761,0.660303247485045,,,,
usembassyjlm,this is the official account of u.s. embassy jerusalem.,israel,1,0.33973977395288,0.3363034638264185,0.33973977395288,0.3239567622207014,0.66026022604712,,,,
JollyHollywood1,we are all works in progress accept it and move on…,orange county ca,1,0.339745387171696,0.3358419411951343,0.339745387171696,0.3244126716331696,0.660254612828304,,,,
spikedonline,the magazine that wants to change the world as well as report on it. for humanism democracy and freedom. donate:,,1,0.339745387171696,0.3358419411951343,0.339745387171696,0.3244126716331696,0.660254612828304,,,,
yael_pl,"dear reader
you don't have to answer just 'cause they asked you",jerusalem,1,0.3397489410280034,0.3247214127842083,0.3397489410280034,0.3355296461877882,0.6602510589719965,,,,
liberty667,"if you don’t believe in freedom for people you dislike you probably don’t believe in it at all-m.taibbi 
i'm an ambulance my pronouns are we/woo",children cannot consent,1,0.3397606267694212,0.3343448078621781,0.3397606267694212,0.3258945653684006,0.6602393732305787,,,,
